;;; @article{yunetal2015,
;;; 	title={The Korean Corpus of Spontaneous Speech},
;;; 	author={Yun, W., Yoon, K., Park, S., Lee, J., Cho, S., Kang, D., Byun, K., Hahn, H., Kim, J.},
;;; 	journal={Journal of the Korean Society of Speech Sciences},
;;; 	volume={7(2)},
;;; 	pages={103–109},
;;; 	year={2015},
;;; 	publisher={}
;;; }
ㄱㅏㄴㅅㅣㄱㄱㅓㄹㅣ	g a N s i K kk eo r i
ㄱㅏㄴㅅㅣㄱㄱㅓㄹㅣ	g a N s i kk eo r i
ㄱㅏㄴㅅㅣㄱㅂㅣㄹㅏㄷㅡㄴㅈㅣ	g a N s i K pp i r a d eu N j i
ㄱㅏㄴㅅㅣㄱㅡㄴ	g a N s i g eu NG
ㄱㅏㄴㅅㅣㄱㅡㄹ	g a N s i g eu L
ㄱㅏㄴㅅㅣㄴㅎㅣ	g a N s i i
ㄱㅏㄴㅅㅣㄴㅎㅣ	g a N s i n i
ㄱㅏㄴㅈㅓㄱㅡㄴ	g a N j eo eu N
ㄱㅏㄴㅈㅓㄱㅡㄴ	g a N j eo g eu N
ㄱㅏㄴㅈㅓㄹㅎㅣ	g a N j eo r i
ㄱㅏㄴㅈㅓㅂ	g a N j eo P
ㄱㅏㄴㅈㅓㅂㅈㅓㄱㅣㄴ	g a N j eo P jj eo g i M
ㄱㅏㄴㅈㅓㅂㅈㅓㄱㅣㄴ	g a N j eo P jj eo g i N
ㄱㅏㄴㅈㅓㅂㅈㅓㄱㅣㄴ	g a N j eo P jj eo g i NG
ㄱㅏㄴㅈㅜㄱㅏ	g a N j u g a
ㄱㅏㄴㅈㅣ	g a N j i
ㄱㅏㄴㅈㅣ	kk a N j i
ㄱㅏㄴㅍㅏㄴ	g a M p a N
ㄱㅏㄴㅍㅏㄴ	g a M p a NG
ㄱㅏㄴㅍㅏㄴㅣ	g a M p a n i
ㄱㅏㄴㅎㅗㄱ	g a n o K
ㄱㅏㄴㅎㅗㅅㅏ	g a n o s a
ㄱㅏㄴㅎㅗㅅㅏㅕㅅㅓ	g a n o s a y eo s eo
ㄱㅏㄴㅏ	g a n a
ㄱㅏㄴㅏㄴㅎㅏㄴ	g a n a N h a N
ㄱㅏㄴㅏㄴㅎㅏㄴ	g a n a n a N
